age,fsr
395,0.654642856
394.5,0.654066436
394,0.653596637
393.5,0.653236447
393,0.652988717
392.5,0.652856115
392,0.652841103
391.5,0.652945913
391,0.653172552
390.5,0.653522824
390,0.653998369
389.5,0.654600687
389,0.655331127
388.5,0.656190825
388,0.6571806
387.5,0.658300846
387,0.659551406
386.5,0.660931455
386,0.662439363
385.5,0.664072556
385,0.665827403
384.5,0.667699149
384,0.669681929
383.5,0.671768846
383,0.673952095
382.5,0.676223112
382,0.678572739
381.5,0.680991393
381,0.683469233
380.5,0.685996312
380,0.688562695
379.5,0.691158537
379,0.693774133
378.5,0.696399948
378,0.699026627
377.5,0.701645016
377,0.704246189
376.5,0.706821493
376,0.709362634
375.5,0.71186178
375,0.714311694
374.5,0.716705876
374,0.719038686
373.5,0.721305456
373,0.723502579
372.5,0.725627571
372,0.727679102
371.5,0.729656974
371,0.731562071
370.5,0.733396254
370,0.735162228
369.5,0.736863394
369,0.738503701
368.5,0.740087495
368,0.741619375
367.5,0.743104051
367,0.744546219
366.5,0.745950442
366,0.747321073
365.5,0.748662211
365,0.749977695
364.5,0.751271097
364,0.75254572
363.5,0.753804585
363,0.755050424
362.5,0.756285692
362,0.757512591
361.5,0.75873309
361,0.759948922
360.5,0.761161581
360,0.762372336
359.5,0.763582284
359,0.764792451
358.5,0.766003909
358,0.767217886
357.5,0.768435853
357,0.769659594
356.5,0.770891258
356,0.772133408
355.5,0.773389053
355,0.774661655
354.5,0.775955108
354,0.777273682
353.5,0.778621972
353,0.780004869
352.5,0.781427567
352,0.78289559
351.5,0.784414813
351,0.785991468
350.5,0.787632151
350,0.789343834
349.5,0.791133904
349,0.793010166
348.5,0.794980786
348,0.797054157
347.5,0.79923871
347,0.801542651
346.5,0.803973653
346,0.80653848
345.5,0.809242545
345,0.812089408
344.5,0.81508029
344,0.818213629
343.5,0.821484708
343,0.824885349
342.5,0.828403701
342,0.832024117
341.5,0.835727131
341,0.839489553
340.5,0.843284697
340,0.847082739
339.5,0.850851165
